"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","2018",52991.2149,
"AUS","GDP","TOT","USD_CAP","A","2019",52732.065678,
"AUS","GDP","TOT","USD_CAP","A","2020",55690.9186,
"AUS","GDP","TOT","USD_CAP","A","2021",61977.196179,
"AUT","GDP","TOT","USD_CAP","A","2018",56956.110562,
"AUT","GDP","TOT","USD_CAP","A","2019",59719.331647,
"AUT","GDP","TOT","USD_CAP","A","2020",57253.300563,
"AUT","GDP","TOT","USD_CAP","A","2021",59976.264665,
"BEL","GDP","TOT","USD_CAP","A","2018",52530.84151,
"BEL","GDP","TOT","USD_CAP","A","2019",55800.825988,
"BEL","GDP","TOT","USD_CAP","A","2020",54539.032525,"P"
"BEL","GDP","TOT","USD_CAP","A","2021",58806.119249,"P"
"CAN","GDP","TOT","USD_CAP","A","2018",49992.811418,
"CAN","GDP","TOT","USD_CAP","A","2019",49832.297981,
"CAN","GDP","TOT","USD_CAP","A","2020",47228.372488,
"CAN","GDP","TOT","USD_CAP","A","2021",53074.088264,
"CZE","GDP","TOT","USD_CAP","A","2018",41157.370409,
"CZE","GDP","TOT","USD_CAP","A","2019",44223.088155,
"CZE","GDP","TOT","USD_CAP","A","2020",42813.74134,
"CZE","GDP","TOT","USD_CAP","A","2021",44801.666875,
"DNK","GDP","TOT","USD_CAP","A","2018",57479.350221,
"DNK","GDP","TOT","USD_CAP","A","2019",59883.83628,
"DNK","GDP","TOT","USD_CAP","A","2020",60840.940164,
"DNK","GDP","TOT","USD_CAP","A","2021",64897.769113,
"FIN","GDP","TOT","USD_CAP","A","2018",49573.255773,
"FIN","GDP","TOT","USD_CAP","A","2019",51811.356163,
"FIN","GDP","TOT","USD_CAP","A","2020",52289.303157,
"FIN","GDP","TOT","USD_CAP","A","2021",54889.943483,
"FRA","GDP","TOT","USD_CAP","A","2018",46336.933985,
"FRA","GDP","TOT","USD_CAP","A","2019",50221.997111,"P"
"FRA","GDP","TOT","USD_CAP","A","2020",47823.919578,"P"
"FRA","GDP","TOT","USD_CAP","A","2021",50998.933198,"P"
"DEU","GDP","TOT","USD_CAP","A","2018",55195.722049,
"DEU","GDP","TOT","USD_CAP","A","2019",57397.204591,"P"
"DEU","GDP","TOT","USD_CAP","A","2020",56476.934309,"P"
"DEU","GDP","TOT","USD_CAP","A","2021",58784.138861,"P"
"GRC","GDP","TOT","USD_CAP","A","2018",29617.499309,
"GRC","GDP","TOT","USD_CAP","A","2019",31155.847016,
"GRC","GDP","TOT","USD_CAP","A","2020",28413.787339,"P"
"GRC","GDP","TOT","USD_CAP","A","2021",31177.251307,"P"
"HUN","GDP","TOT","USD_CAP","A","2018",31908.661917,
"HUN","GDP","TOT","USD_CAP","A","2019",34638.671964,
"HUN","GDP","TOT","USD_CAP","A","2020",34156.840044,"P"
"HUN","GDP","TOT","USD_CAP","A","2021",36677.803167,"P"
"ISL","GDP","TOT","USD_CAP","A","2018",57208.31151,
"ISL","GDP","TOT","USD_CAP","A","2019",59994.246913,
"ISL","GDP","TOT","USD_CAP","A","2020",54649.872164,
"ISL","GDP","TOT","USD_CAP","A","2021",58297.114413,
"IRL","GDP","TOT","USD_CAP","A","2018",84824.352993,
"IRL","GDP","TOT","USD_CAP","A","2019",89846.272208,
"IRL","GDP","TOT","USD_CAP","A","2020",94028.901163,
"IRL","GDP","TOT","USD_CAP","A","2021",106852.122229,
"ITA","GDP","TOT","USD_CAP","A","2018",43427.663143,
"ITA","GDP","TOT","USD_CAP","A","2019",45799.526931,
"ITA","GDP","TOT","USD_CAP","A","2020",43129.896677,
"ITA","GDP","TOT","USD_CAP","A","2021",46527.750373,
"JPN","GDP","TOT","USD_CAP","A","2018",42239.050068,
"JPN","GDP","TOT","USD_CAP","A","2019",42465.48008,
"JPN","GDP","TOT","USD_CAP","A","2020",41699.104776,
"JPN","GDP","TOT","USD_CAP","A","2021",42229.827091,"E"
"KOR","GDP","TOT","USD_CAP","A","2018",43044.340145,
"KOR","GDP","TOT","USD_CAP","A","2019",43410.149526,
"KOR","GDP","TOT","USD_CAP","A","2020",44698.282816,
"KOR","GDP","TOT","USD_CAP","A","2021",46888.679035,"P"
"LUX","GDP","TOT","USD_CAP","A","2018",116334.724739,
"LUX","GDP","TOT","USD_CAP","A","2019",119252.812943,
"LUX","GDP","TOT","USD_CAP","A","2020",119871.429414,
"LUX","GDP","TOT","USD_CAP","A","2021",131277.948732,"P"
"MEX","GDP","TOT","USD_CAP","A","2018",20561.246895,
"MEX","GDP","TOT","USD_CAP","A","2019",20244.607419,
"MEX","GDP","TOT","USD_CAP","A","2020",18466.909979,"P"
"MEX","GDP","TOT","USD_CAP","A","2021",19445.00585,"P"
"NLD","GDP","TOT","USD_CAP","A","2018",57825.399708,
"NLD","GDP","TOT","USD_CAP","A","2019",60207.71305,
"NLD","GDP","TOT","USD_CAP","A","2020",59815.501543,"P"
"NLD","GDP","TOT","USD_CAP","A","2021",63418.747204,"P"
"NZL","GDP","TOT","USD_CAP","A","2018",42334.17358,
"NZL","GDP","TOT","USD_CAP","A","2019",45619.997918,
"NZL","GDP","TOT","USD_CAP","A","2020",45414.702452,
"NZL","GDP","TOT","USD_CAP","A","2021",47045.373087,"E"
"NOR","GDP","TOT","USD_CAP","A","2018",69807.225536,
"NOR","GDP","TOT","USD_CAP","A","2019",69264.453985,
"NOR","GDP","TOT","USD_CAP","A","2020",64166.765766,
"NOR","GDP","TOT","USD_CAP","A","2021",80495.606523,
"POL","GDP","TOT","USD_CAP","A","2018",31662.210541,
"POL","GDP","TOT","USD_CAP","A","2019",34592.711362,
"POL","GDP","TOT","USD_CAP","A","2020",34893.459765,
"POL","GDP","TOT","USD_CAP","A","2021",37710.71133,
"PRT","GDP","TOT","USD_CAP","A","2018",34928.61899,
"PRT","GDP","TOT","USD_CAP","A","2019",37299.007208,
"PRT","GDP","TOT","USD_CAP","A","2020",34952.243057,"P"
"PRT","GDP","TOT","USD_CAP","A","2021",36700.45415,"P"
"SVK","GDP","TOT","USD_CAP","A","2018",31374.187996,
"SVK","GDP","TOT","USD_CAP","A","2019",33461.912918,
"SVK","GDP","TOT","USD_CAP","A","2020",32898.852987,
"SVK","GDP","TOT","USD_CAP","A","2021",33941.41438,
"ESP","GDP","TOT","USD_CAP","A","2018",40776.768298,
"ESP","GDP","TOT","USD_CAP","A","2019",43135.539426,
"ESP","GDP","TOT","USD_CAP","A","2020",37992.368883,"P"
"ESP","GDP","TOT","USD_CAP","A","2021",40724.034713,"P"
"SWE","GDP","TOT","USD_CAP","A","2018",53521.635778,
"SWE","GDP","TOT","USD_CAP","A","2019",56404.032355,
"SWE","GDP","TOT","USD_CAP","A","2020",56135.141361,
"SWE","GDP","TOT","USD_CAP","A","2021",59973.968839,
"CHE","GDP","TOT","USD_CAP","A","2018",70688.84449,
"CHE","GDP","TOT","USD_CAP","A","2019",72668.384444,"P"
"CHE","GDP","TOT","USD_CAP","A","2020",70804.014012,"P"
"CHE","GDP","TOT","USD_CAP","A","2021",75950.570423,"P"
"TUR","GDP","TOT","USD_CAP","A","2018",28281.473275,
"TUR","GDP","TOT","USD_CAP","A","2019",28011.191299,
"TUR","GDP","TOT","USD_CAP","A","2020",27971.203588,
"TUR","GDP","TOT","USD_CAP","A","2021",30671.746024,
"GBR","GDP","TOT","USD_CAP","A","2018",47219.464771,
"GBR","GDP","TOT","USD_CAP","A","2019",49317.511698,
"GBR","GDP","TOT","USD_CAP","A","2020",45867.757803,
"GBR","GDP","TOT","USD_CAP","A","2021",49765.080563,
"USA","GDP","TOT","USD_CAP","A","2018",62449.612827,
"USA","GDP","TOT","USD_CAP","A","2019",64690.272395,
"USA","GDP","TOT","USD_CAP","A","2020",63480.861222,
