,LOCATION,TIME,ALCOHOL,GDP,LIFE EXPECTANCY,POPULATION,VACCINATION DTP,VACCINATION MEASLES,HEALTH SPENDING
0,AUT,2018,11.3,56956.110562,81.8,8.837707,85.0,94.0,5518.538
1,AUT,2019,11.6,59719.331647,82.0,8.877637,85.0,94.0,5624.014
2,AUT,2020,11.3,57253.300563,81.3,8.916845,85.0,94.0,5882.745
3,BEL,2018,9.2,52530.84151,81.7,11.40374,98.0,96.0,5315.194
4,BEL,2019,9.2,55800.825988,82.1,11.462023,98.0,96.0,5352.871
5,CAN,2018,8.2,49992.811418,81.9,37.065084,91.0,90.0,5308.356
6,CAN,2019,8.0,49832.297981,82.3,37.60123,91.0,90.0,5189.721
7,CAN,2020,8.1,47228.372488,81.7,38.037204,91.0,90.0,5828.324
8,CZE,2018,11.8,41157.370409,79.1,10.62643,97.0,96.4,3128.523
9,CZE,2019,11.9,44223.088155,79.3,10.669324,96.7,92.4,3272.224
10,CZE,2020,11.6,42813.74134,78.3,10.700155,96.8,94.4,3805.143
11,DNK,2018,9.7,57479.350221,81.0,5.789957,96.0,94.0,5306.704
12,DNK,2019,9.5,59883.83628,81.5,5.814461,96.0,95.0,5359.776
13,DNK,2020,9.7,60840.940164,81.6,5.825337,96.0,93.6,5693.651
14,FIN,2018,8.4,49573.255773,81.8,5.515525,91.0,96.0,4330.443
15,FIN,2019,8.2,51811.356163,82.1,5.521605,91.0,96.0,4383.634
16,FIN,2020,8.2,52289.303157,82.0,5.529545,91.0,96.0,4604.622
17,FRA,2018,11.6,46336.933985,82.8,67.125071,96.3,89.6,5099.306
18,FRA,2019,11.4,50221.997111,83.0,67.35605,96.0,90.0,5167.839
19,FRA,2020,10.4,47823.919578,82.3,67.540257,,,5468.418
20,DEU,2018,10.9,55195.722049,81.0,82.905788,93.0,97.1,6281.84
21,DEU,2019,10.6,57397.204591,81.3,83.092958,93.0,97.2,6407.928
22,GRC,2018,6.5,29617.499309,81.9,10.732877,99.0,97.0,2314.696
23,GRC,2019,6.3,31155.847016,81.7,10.721584,99.0,97.0,2349.574
24,HUN,2018,11.4,31908.661917,76.2,9.775566,99.9,99.9,2105.71
25,HUN,2019,10.7,34638.671964,76.5,9.771142,99.9,99.9,2094.079
26,HUN,2020,10.4,34156.840044,75.7,9.750153,99.9,99.8,2401.999
27,ISL,2018,7.7,57208.31151,82.9,0.352722,91.0,93.0,4235.661
28,ISL,2019,7.4,59994.246913,83.2,0.360558,92.6,92.6,4318.269
29,ISL,2020,7.4,54649.872164,83.1,0.366462,93.4,92.9,4620.158
30,IRL,2018,11.0,84824.352993,82.2,4.857015,94.5,92.3,4870.689
31,IRL,2019,10.8,89846.272208,82.8,4.921496,93.5,91.0,4947.222
32,IRL,2020,10.1,94028.901163,82.6,4.977443,94.2,91.8,5372.814
33,ITA,2018,7.8,43427.663143,83.4,59.877216,95.1,93.2,3495.868
34,ITA,2019,7.7,45799.526931,83.6,59.729077,96.0,94.5,3565.301
35,JPN,2018,7.2,42239.050068,84.3,126.44318,100.0,97.2,4554.276
36,JPN,2019,7.1,42465.48008,84.4,126.166948,98.0,96.0,4610.794
37,JPN,2020,6.7,41699.104776,84.7,126.146099,96.2,98.5,4665.641
38,KOR,2018,8.5,43044.340145,82.7,51.585058,97.5,97.6,3078.831
39,KOR,2019,8.3,43410.149526,83.3,51.764822,97.3,97.4,3277.225
40,KOR,2020,7.9,44698.282816,83.5,51.836239,,,3582.313
41,LUX,2018,11.1,116334.724739,82.3,0.60795,99.0,99.0,5292.055
42,LUX,2019,11.0,119252.812943,82.7,0.620003,99.0,99.0,5379.664
43,MEX,2018,4.8,20561.246895,75.0,125.327797,88.0,97.0,1122.178
44,MEX,2019,4.9,20244.607419,75.1,126.577691,82.0,73.0,1117.235
45,MEX,2020,3.9,18466.909979,75.2,127.792286,85.8,73.0,1226.736
46,NLD,2018,8.3,57825.399708,81.9,17.231622,93.5,92.9,5482.27
47,NLD,2019,8.2,60207.71305,82.2,17.344876,93.7,93.6,5643.59
48,NLD,2020,7.2,59815.501543,81.4,17.4415,94.2,93.6,6180.011
49,NZL,2018,8.8,42334.17358,81.7,4.9006,92.6,91.9,3913.078
50,NZL,2019,8.8,45619.997918,82.1,4.9792,91.6,91.8,4249.593
51,NZL,2020,8.7,45414.702452,82.3,5.0902,92.0,91.5,4469.383
52,NOR,2018,6.0,69807.225536,82.8,5.311916,96.0,96.0,6495.078
53,NOR,2019,6.1,69264.453985,83.0,5.347893,97.0,97.0,6476.378
54,NOR,2020,7.2,64166.765766,83.3,5.379472,97.1,96.7,6581.629
55,POL,2018,10.7,31662.210541,77.7,38.413139,95.2,92.9,2106.662
56,POL,2019,11.0,34592.711362,78.0,38.386476,95.0,93.0,2232.347
57,PRT,2018,10.4,34928.61899,81.5,10.283822,99.0,99.0,3134.128
58,PRT,2019,10.4,37299.007208,81.9,10.286263,99.0,99.0,3223.676
59,SVK,2018,10.1,31374.187996,77.4,5.4467705,96.5,96.1,2008.975
60,SVK,2019,10.3,33461.912918,77.8,5.454147,96.7,96.2,2115.452
61,SVK,2020,9.9,32898.852987,77.0,5.458827,97.0,96.0,2125.666
62,ESP,2018,10.4,40776.768298,83.5,46.728814,93.4,97.1,3427.341
63,ESP,2019,10.8,43135.539426,84.0,47.105358,95.6,97.9,3522.767
64,ESP,2020,7.8,37992.368883,82.4,47.355685,94.8,97.5,3718.054
65,SWE,2018,7.2,53521.635778,82.6,10.175215,97.0,97.0,5419.273
66,SWE,2019,7.1,56404.032355,83.2,10.278888,98.0,97.0,5387.733
67,SWE,2020,7.5,56135.141361,82.4,10.353444,97.0,97.0,5757.291
68,CHE,2018,9.1,70688.84449,83.8,8.514327,95.9,95.5,6930.7
69,CHE,2019,9.3,72668.384444,84.0,8.57528,96.2,95.3,6942.41
70,CHE,2020,8.9,70804.014012,83.1,8.638169,96.5,97.1,7178.56
71,TUR,2018,1.4,28281.473275,78.3,81.407211,98.0,96.0,1205.305
72,TUR,2019,1.3,28011.191299,78.6,82.579448,98.7,97.0,1231.634
73,TUR,2020,1.2,27971.203588,,83.384688,98.4,95.0,1304.709
74,GBR,2018,9.8,47219.464771,81.3,66.43555,94.0,92.0,4189.708
75,GBR,2019,9.7,49317.511698,81.4,66.796807,93.0,91.0,4385.463
76,GBR,2020,9.7,45867.757803,80.4,67.081234,93.0,91.1,5018.7
77,USA,2018,8.9,62449.612827,78.7,326.838199,94.0,92.0,10451.386
78,USA,2019,9.0,64690.272395,78.8,328.329953,94.0,90.0,10855.517
79,USA,2020,9.3,63480.861222,77.0,331.50108,93.0,91.0,11859.179
80,BRA,2018,6.2,15088.873591,75.7,208.4949,87.0,92.0,1437.449
81,BRA,2019,6.1,15424.038754,75.9,210.147125,70.0,91.0,1497.734
82,CHL,2018,6.3,25496.431399,80.4,18.751405,95.0,93.0,2281.148
83,CHL,2019,7.1,25517.794023,80.6,19.107216,96.0,95.0,2296.988
84,CHN,2018,4.8,15466.329982,76.7,1417.069468,99.1,98.6,810.568
85,CHN,2019,4.5,16624.520609,76.9,1421.864034,99.1,98.8,894.357
86,EST,2018,10.0,36488.637421,78.5,1.321977,91.9,86.9,2364.073
